Location,IMIPENEM,CEFTAZIDIME,GENTAMICIN,AUGMENTIN,CIPROFLOXACIN,IMIPENEM_class,CEFTAZIDIME_class,GENTAMICIN_class,AUGMENTIN_class,CIPROFLOXACIN_class,Location_enc
IFE-T,25,20,20,15,28,S,I,S,I,S,5
IFE-T,25,25,20,20,30,S,S,S,S,S,5
IFE-T,30,10,20,20,25,S,R,S,S,I,5
IFE-T,25,20,20,25,28,S,I,S,S,S,5
IFE-T,25,7,20,20,22,S,R,S,S,I,5
IFE-T,25,0,15,15,25,S,R,S,I,I,5
IFE-T,20,0,22,10,22,I,R,S,R,I,5
IFE-T,25,25,18,18,22,S,S,S,S,I,5
IFE-T,22,0,12,12,22,I,R,R,R,I,5
IFE-T,20,0,10,10,22,I,R,R,R,I,5
IFE-T,28,20,18,20,25,S,I,S,S,I,5
IFE-T,27,27,20,20,28,S,S,S,S,S,5
IFE-T,22,12,0,8,0,I,R,R,R,R,5
IFE-T,22,0,20,20,20,I,R,S,S,R,5
IFE-T,24,15,25,25,20,S,R,S,S,R,5
IFE-T,35,20,25,25,30,S,I,S,S,S,5
IFE-T,27,27,20,20,0,S,S,S,S,R,5
IFE-T,20,22,0,0,0,I,S,R,R,R,5
IFE-T,25,25,13,20,22,S,S,I,S,I,5
IFE-T,18,27,20,0,25,R,S,S,R,I,5
IFE-T,27,15,18,15,25,S,R,S,I,I,5
IFE-T,20,22,10,20,22,I,S,R,S,I,5
IFE-T,16,25,20,0,30,R,S,S,R,S,5
IFE-T,20,20,20,20,20,I,I,S,S,R,5
IFE-T,20,10,15,0,15,I,R,S,R,R,5
IFE-T,30,15,15,12,0,S,R,S,R,R,5
IFE-T,37,15,20,24,20,S,R,S,S,R,5
IFE-T,18,0,18,10,22,R,R,S,R,I,5
IFE-T,21,18,15,12,25,I,I,S,R,I,5
IFE-T,20,0,12,7,10,I,R,R,R,R,5
IFE-T,20,20,19,15,25,I,I,S,I,I,5
IFE-C,25,10,19,23,25,S,R,S,S,I,3
IFE-C,26,10,21,24,25,S,R,S,S,I,3
IFE-C,20,0,12,16,21,I,R,R,I,I,3
IFE-C,22,0,18,0,20,I,R,S,R,R,3
IFE-C,16,9,16,18,22,R,R,S,S,I,3
IFE-C,18,10,19,8,23,R,R,S,R,I,3
IFE-C,22,11,18,19,25,I,R,S,S,I,3
IFE-C,28,0,20,10,0,S,R,S,R,R,3
IFE-C,19,8,20,12,0,R,R,S,R,R,3
IFE-C,20,0,17,7,22,I,R,S,R,I,3
IFE-C,22,24,11,9,20,I,S,R,R,R,3
IFE-C,16,0,0,8,21,R,R,R,R,I,3
IFE-C,17,0,0,12,20,R,R,R,R,R,3
IFE-C,18,11,20,15,24,R,R,S,I,I,3
IFE-C,26,11,21,10,23,S,R,S,R,I,3
IFE-C,15,0,20,0,28,R,R,S,R,S,3
IFE-C,21,0,0,20,22,I,R,R,S,I,3
IFE-C,20,10,18,0,22,I,R,S,R,I,3
IFE-S,23,0,18,7,25,S,R,S,R,I,4
IFE-S,15,0,0,0,24,R,R,R,R,I,4
IFE-S,25,9,19,20,25,S,R,S,S,I,4
IFE-S,24,0,19,9,23,S,R,S,R,I,4
IFE-S,26,11,19,20,21,S,R,S,S,I,4
IFE-S,40,0,20,15,20,S,R,S,I,R,4
IFE-S,30,0,24,25,20,S,R,S,S,R,4
IFE-S,40,12,25,28,25,S,R,S,S,I,4
IFE-S,22,22,18,0,28,I,S,S,R,S,4
IFE-S,24,12,15,15,0,S,R,S,I,R,4
IFE-S,17,0,6,17,12,R,R,R,I,R,4
IFE-S,20,20,20,16,0,I,I,S,I,R,4
IFE-S,40,0,24,28,29,S,R,S,S,S,4
IFE-S,25,0,20,16,20,S,R,S,I,R,4
IFE-S,30,0,20,16,26,S,R,S,I,S,4
IFE-S,25,20,17,15,25,S,I,S,I,I,4
IFE-S,25,24,16,20,25,S,S,S,S,I,4
IFE-S,22,0,16,4,20,I,R,S,R,R,4
IFE-S,30,7,20,20,20,S,R,S,S,R,4
IFE-S,20,0,20,11,0,I,R,S,R,R,4
IFE-S,30,0,20,18,25,S,R,S,S,I,4
IFE-S,30,18,16,25,20,S,I,S,S,R,4
IFE-S,40,20,25,25,25,S,I,S,S,I,4
IFE-S,30,0,20,17,25,S,R,S,I,I,4
OSU-T,24,0,16,0,30,S,R,S,R,S,11
OSU-T,26,20,10,9,23,S,I,R,R,I,11
OSU-T,21,0,15,0,22,I,R,S,R,I,11
OSU-T,22,12,17,0,19,I,R,S,R,R,11
OSU-T,20,0,15,0,20,I,R,S,R,R,11
OSU-T,17,0,15,0,12,R,R,S,R,R,11
OSU-T,18,24,13,9,32,R,S,I,R,S,11
OSU-T,27,0,15,0,10,S,R,S,R,R,11
OSU-T,22,18,15,0,25,I,I,S,R,I,11
OSU-T,17,12,15,0,21,R,R,S,R,I,11
OSU-T,24,11,17,0,21,S,R,S,R,I,11
OSU-T,23,12,8,0,22,S,R,R,R,I,11
